id,effort,repetition,case,pass,stage
baseline,baseline,0,A,False,post-hoc
baseline,baseline,0,B,False,post-hoc
baseline,baseline,0,C,True,post-hoc
baseline,baseline,0,D,False,post-hoc
r05,xhigh,1,A,True,post-hoc
r05,xhigh,1,B,True,post-hoc
r05,xhigh,1,C,True,post-hoc
r05,xhigh,1,D,False,post-hoc
r06,medium,1,A,False,post-hoc
r06,medium,1,B,False,post-hoc
r06,medium,1,C,False,post-hoc
r06,medium,1,D,True,post-hoc
r07,medium,2,A,True,post-hoc
r07,medium,2,B,False,post-hoc
r07,medium,2,C,False,post-hoc
r07,medium,2,D,True,post-hoc
r08,xhigh,2,A,True,post-hoc
r08,xhigh,2,B,False,post-hoc
r08,xhigh,2,C,True,post-hoc
r08,xhigh,2,D,False,post-hoc
r15,xhigh,3,A,True,post-hoc
r15,xhigh,3,B,True,post-hoc
r15,xhigh,3,C,False,post-hoc
r15,xhigh,3,D,True,post-hoc
r16,medium,3,A,False,post-hoc
r16,medium,3,B,False,post-hoc
r16,medium,3,C,True,post-hoc
r16,medium,3,D,False,post-hoc
