id,task,effort,repetition,elapsed_seconds,exit_code,timed_out,command_count,nonzero_commands,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_output_tokens,api_equivalent_usd,cache_normalized_usd,acceptance_passed,acceptance_total,acceptance_all_pass,input_cache_fraction
r01,small,xhigh,1,262.4601960936561,0,False,20,2,689742,620672,0,6542,2364,1.638472,7.22452,15,15,True,0.8998611074865674
r02,small,medium,1,139.16027540434152,0,False,12,2,452978,402176,0,3327,184,1.076546,4.69613,15,15,True,0.8878488580019339
r03,medium,medium,1,138.94646069779992,0,False,11,1,628232,549376,0,3375,552,1.506686,6.45107,8,8,True,0.8744794916527652
r04,medium,xhigh,1,379.72142853215337,0,False,24,4,956853,872064,0,10653,4505,2.252604,10.10118,8,8,True,0.9113876426159504
r05,large,xhigh,1,842.8952542282641,0,False,50,5,2535485,2416384,0,23717,11546,4.793244,26.5407,6,6,True,0.9530263440722386
r06,large,medium,1,498.79729652032256,0,False,36,6,1883964,1762176,0,11021,2738,3.531106,19.39069,6,6,True,0.9353554526519615
r07,large,medium,2,548.2027031350881,0,False,42,4,2198659,2099328,0,13040,3771,3.744638,22.63859,6,6,True,0.9548220074145195
r08,large,xhigh,2,753.2911494411528,0,False,50,7,2638230,2510464,0,20260,9538,4.801124,27.3953,6,6,True,0.9515713186492459
r09,medium,xhigh,2,397.79386511072516,0,False,29,6,1181238,1094784,0,10797,4732,2.499174,12.35223,8,8,True,0.9268106850609276
r10,medium,medium,2,153.63492743391544,0,False,18,3,637805,567552,0,3703,451,1.455232,6.5632,8,8,True,0.8898519139862497
r11,small,medium,2,135.88038817886263,0,False,12,2,373031,325888,0,3184,212,0.956518,3.88951,15,15,True,0.8736217633387038
r12,small,xhigh,2,271.4290085704997,0,False,23,2,848574,781568,0,6907,1979,1.796978,8.83109,15,15,True,0.9210369396187015
r13,medium,medium,3,185.06710410211235,0,False,19,1,654084,593408,0,4813,647,1.440818,6.78149,8,8,True,0.9072351563407758
r14,medium,xhigh,3,444.60607103351504,0,False,35,5,1246230,1153280,0,12795,5553,2.72253,13.10205,8,8,True,0.9254150517962174
r15,large,xhigh,3,794.6875710254535,0,False,41,5,2904584,2779648,0,21767,10908,5.117358,30.13419,6,6,True,0.9569866115078786
r16,large,medium,3,464.4082084503025,0,False,32,1,1796630,1702400,0,12410,3417,3.2652,18.5868,6,6,True,0.947551805324413
r17,small,xhigh,3,225.24613882414997,0,False,21,5,762761,697344,0,5683,1414,1.635664,7.91176,15,15,True,0.9142365695152217
r18,small,medium,3,138.1827987600118,0,False,11,2,392265,351488,0,3314,218,0.924958,4.08835,15,15,True,0.8960473149529017
